"Figure_Panel","P_value","Significance","P_value_formatted"
"6a_ASS1_timecourse_ANOVA",0.00710799156603957,"**","0.007"
"6a_Linear_trend",0.0117826021269798,"*","0.012"
"6a_0h_vs_12h",0.0170771742383178,"*","0.017"
"6a_12h_vs_24h",0.278796800196603,"n.s.","0.279"
"6a_24h_vs_48h",0.800834304929873,"n.s.","0.801"
"6b_AcH3_promoter",0.0185641083171211,"*","0.019"
"6b_AcH3_exon1",0.994431853311118,"n.s.","0.994"
"6c_H3K27Me3_promoter",0.492087186489001,"n.s.","0.492"
"6c_H3K27Me3_exon1",0.950060599399358,"n.s.","0.950"
"6d_H3K4Me3_promoter",0.018527502270916,"*","0.019"
"6d_H3K4Me3_exon1",0.715060695712697,"n.s.","0.715"
"6e_H3K9Me2_promoter",0.0557806681914565,"n.s.","0.056"
"6e_H3K9Me2_exon1",0.425585976875677,"n.s.","0.426"
