"Region","Comparison","P_value","Fold_change","Significance","Figure"
"AcH3-Promoter","Con siRNA vs c-Myc siRNA",0.0221882809079034,0.460424675504245,"*","6j"
"AcH3-Promoter","Con siRNA vs IL-6",0.00122161907454053,2.25755616814206,"**","6j"
"AcH3-Promoter","IL-6 vs IL-6+c-Myc siRNA",0.00198566206482084,0.473547913177627,"**","6j"
"AcH3-Promoter","c-Myc siRNA vs IL-6+c-Myc siRNA",0.0208743774998538,2.32190208123434,"*","6j"
"AcH3-Exon","Con siRNA vs c-Myc siRNA",0.90860587389283,1.05168770682258,"n.s.","6j"
"AcH3-Exon","Con siRNA vs IL-6",0.890725118706544,1.03468136319775,"n.s.","6j"
"AcH3-Exon","IL-6 vs IL-6+c-Myc siRNA",0.793651033311007,1.09901828824549,"n.s.","6j"
"AcH3-Exon","c-Myc siRNA vs IL-6+c-Myc siRNA",0.870820621783098,1.08124658421336,"n.s.","6j"
"H3K4Me3-Promoter","Con siRNA vs c-Myc siRNA",0.00673956094502702,0.37682784580538,"**","6k"
"H3K4Me3-Promoter","Con siRNA vs IL-6",0.00287758956423559,1.92786000880057,"**","6k"
"H3K4Me3-Promoter","IL-6 vs IL-6+c-Myc siRNA",0.0033718954701869,0.445158947365345,"**","6k"
"H3K4Me3-Promoter","c-Myc siRNA vs IL-6+c-Myc siRNA",0.0563030971025269,2.27744351097833,"n.s.","6k"
"H3K4Me3-Exon","Con siRNA vs c-Myc siRNA",0.764034569938836,0.926139876704724,"n.s.","6k"
"H3K4Me3-Exon","Con siRNA vs IL-6",0.857224571664702,1.08975909997404,"n.s.","6k"
"H3K4Me3-Exon","IL-6 vs IL-6+c-Myc siRNA",0.884785987999508,0.937287728072129,"n.s.","6k"
"H3K4Me3-Exon","c-Myc siRNA vs IL-6+c-Myc siRNA",0.546063940854801,1.10287641926712,"n.s.","6k"
"H3K9Me2-Promoter","Con siRNA vs c-Myc siRNA",0.0246845944213558,2.19044999027089,"*","6l"
"H3K9Me2-Promoter","Con siRNA vs IL-6",0.0317368992764465,0.260877831755333,"*","6l"
"H3K9Me2-Promoter","IL-6 vs IL-6+c-Myc siRNA",0.0147937073726077,3.75456056434419,"*","6l"
"H3K9Me2-Promoter","c-Myc siRNA vs IL-6+c-Myc siRNA",0.0273220479703254,0.447160000717048,"*","6l"
"H3K9Me2-Exon","Con siRNA vs c-Myc siRNA",0.302100472202689,0.845608496962652,"n.s.","6l"
"H3K9Me2-Exon","Con siRNA vs IL-6",0.307483177744049,1.19876050466141,"n.s.","6l"
"H3K9Me2-Exon","IL-6 vs IL-6+c-Myc siRNA",0.346077119877058,0.823473176641694,"n.s.","6l"
"H3K9Me2-Exon","c-Myc siRNA vs IL-6+c-Myc siRNA",0.458821284482209,1.16738079661199,"n.s.","6l"
