"Protein","Comparison","P_value","Mean_Group1","Mean_Group2","Mean_Difference","Significance"
"ASS1","Control_vs_Control+C01",0.0482047753696133,0.911694276,0.774899779666667,-0.136794496333333,"*"
"ASS1","Model_vs_Model+C01",0.203463851760954,1.10249205033333,0.953789898333333,-0.148702152,"ns"
"ASS1","Control_vs_Model",0.00767861400881677,0.911694276,1.10249205033333,0.190797774333333,"**"
"ASS1","Control+C01_vs_Model+C01",0.146982955149445,0.774899779666667,0.953789898333333,0.178890118666667,"ns"
"COX2","Control_vs_Control+C01",0.629703785673861,0.349598698666667,0.302774674666667,-0.046824024,"ns"
"COX2","Model_vs_Model+C01",0.00336889432455482,1.003120011,0.531657216333333,-0.471462794666667,"**"
"COX2","Control_vs_Model",0.00177580349515296,0.349598698666667,1.003120011,0.653521312333333,"**"
"COX2","Control+C01_vs_Model+C01",0.0598518057231697,0.302774674666667,0.531657216333333,0.228882541666667,"ns"
"p_STAT3_STAT3","Control_vs_Control+C01",0.271221631310026,0.332355968666667,0.469229949,0.136873980333333,"ns"
"p_STAT3_STAT3","Model_vs_Model+C01",0.00906824670345881,1.12597711166667,0.381497213,-0.744479898666667,"**"
"p_STAT3_STAT3","Control_vs_Model",0.00583884546288518,0.332355968666667,1.12597711166667,0.793621143,"**"
"p_STAT3_STAT3","Control+C01_vs_Model+C01",0.373928083164279,0.469229949,0.381497213,-0.087732736,"ns"
"p_mTOR_mTOR","Control_vs_Control+C01",0.549264572898983,0.520371435,0.618448845666667,0.0980774106666666,"ns"
"p_mTOR_mTOR","Model_vs_Model+C01",0.0795416215842764,1.21880419433333,0.718632361666667,-0.500171832666667,"ns"
"p_mTOR_mTOR","Control_vs_Model",0.035012734926234,0.520371435,1.21880419433333,0.698432759333333,"*"
"p_mTOR_mTOR","Control+C01_vs_Model+C01",0.37615774155816,0.618448845666667,0.718632361666667,0.100183516,"ns"
"p_S6_S6","Control_vs_Control+C01",0.0880281562824579,0.219057607,0.309836235666667,0.0907786286666667,"ns"
"p_S6_S6","Model_vs_Model+C01",0.00078199540814704,1.19822116,0.55630587,-0.64191529,"***"
"p_S6_S6","Control_vs_Model",1.54410213215049e-05,0.219057607,1.19822116,0.979163553,"***"
"p_S6_S6","Control+C01_vs_Model+C01",0.0147307556826654,0.309836235666667,0.55630587,0.246469634333333,"*"
